height,weight
173.0,84.3
192.8,99.8
156.5,62.6
192.7,101.3
164.0,70.6
169.0,80.7
187.2,89.2
168.4,80.2
174.7,82.2
151.2,56.1
183.9,89.3
174.2,82.0
164.8,74.4
185.5,88.0
163.6,67.8
170.4,79.2
156.0,63.6
168.1,77.3
159.2,71.3
161.8,64.0
183.8,91.4
162.6,76.3
171.8,78.5
194.1,96.5
193.3,102.0
182.6,90.4
174.4,85.5
162.5,69.8
157.2,60.6
193.6,98.8
173.2,79.1
155.2,67.8
178.1,86.0
185.0,84.9
177.6,80.0
191.3,100.7
151.8,64.3
173.8,78.8
170.7,78.6
152.8,64.3
178.9,87.8
188.4,98.0
176.7,85.0
161.7,70.2
187.8,93.0
172.9,84.9
173.0,71.7
183.9,89.9
156.7,66.1
186.9,87.5
